고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
22931,공항철도,,인천공항1터미널,SAT,DOWN,0,A1013,,11:05:00,서울역,인천공항2터미널
22932,공항철도,,인천공항1터미널,END,DOWN,0,A1013,,11:05:00,서울역,인천공항2터미널
22933,공항철도,,인천공항2터미널,DAY,DOWN,0,A1014,,09:30:00,인천공항2터미널,서울역
22934,공항철도,,인천공항1터미널,DAY,DOWN,0,A1014,,09:38:00,인천공항2터미널,서울역
22935,공항철도,,인천공항2터미널,SAT,DOWN,0,A1014,,09:30:00,인천공항2터미널,서울역
22936,공항철도,,인천공항2터미널,END,DOWN,0,A1014,,09:30:00,인천공항2터미널,서울역
22937,공항철도,,인천공항1터미널,SAT,DOWN,0,A1014,,09:38:00,인천공항2터미널,서울역
22938,공항철도,,인천공항1터미널,END,DOWN,0,A1014,,09:38:00,인천공항2터미널,서울역
22939,공항철도,,서울역,DAY,DOWN,0,A1015,,10:56:00,서울역,인천공항2터미널
22940,공항철도,,인천공항1터미널,DAY,DOWN,0,A1015,,11:41:00,서울역,인천공항2터미널
22941,공항철도,,서울역,SAT,DOWN,0,A1015,,10:56:00,서울역,인천공항2터미널
22942,공항철도,,서울역,END,DOWN,0,A1015,,10:56:00,서울역,인천공항2터미널
22943,공항철도,,인천공항1터미널,SAT,DOWN,0,A1015,,11:41:00,서울역,인천공항2터미널
22944,공항철도,,인천공항1터미널,END,DOWN,0,A1015,,11:41:00,서울역,인천공항2터미널
22945,공항철도,,인천공항2터미널,DAY,DOWN,0,A1016,,10:10:00,인천공항2터미널,서울역
22946,공항철도,,인천공항1터미널,DAY,DOWN,0,A1016,,10:18:00,인천공항2터미널,서울역
22947,공항철도,,인천공항2터미널,SAT,DOWN,0,A1016,,10:10:00,인천공항2터미널,서울역
22948,공항철도,,인천공항2터미널,END,DOWN,0,A1016,,10:10:00,인천공항2터미널,서울역
22949,공항철도,,인천공항1터미널,SAT,DOWN,0,A1016,,10:18:00,인천공항2터미널,서울역
22950,공항철도,,인천공항1터미널,END,DOWN,0,A1016,,10:18:00,인천공항2터미널,서울역
22951,공항철도,,서울역,DAY,DOWN,0,A1017,,11:35:00,서울역,인천공항2터미널
22952,공항철도,,인천공항1터미널,DAY,DOWN,0,A1017,,12:20:00,서울역,인천공항2터미널
22953,공항철도,,서울역,SAT,DOWN,0,A1017,,11:35:00,서울역,인천공항2터미널
22954,공항철도,,서울역,END,DOWN,0,A1017,,11:35:00,서울역,인천공항2터미널
22955,공항철도,,인천공항1터미널,SAT,DOWN,0,A1017,,12:20:00,서울역,인천공항2터미널
22956,공항철도,,인천공항1터미널,END,DOWN,0,A1017,,12:20:00,서울역,인천공항2터미널
22957,공항철도,,인천공항2터미널,DAY,DOWN,0,A1018,,10:50:00,인천공항2터미널,서울역
22958,공항철도,,인천공항1터미널,DAY,DOWN,0,A1018,,10:58:00,인천공항2터미널,서울역
22959,공항철도,,인천공항2터미널,SAT,DOWN,0,A1018,,10:50:00,인천공항2터미널,서울역
22960,공항철도,,인천공항2터미널,END,DOWN,0,A1018,,10:50:00,인천공항2터미널,서울역
22961,공항철도,,인천공항1터미널,SAT,DOWN,0,A1018,,10:58:00,인천공항2터미널,서울역
22962,공항철도,,인천공항1터미널,END,DOWN,0,A1018,,10:58:00,인천공항2터미널,서울역
22963,공항철도,,서울역,DAY,DOWN,0,A1019,,12:10:00,서울역,인천공항2터미널
22964,공항철도,,인천공항1터미널,DAY,DOWN,0,A1019,,12:55:00,서울역,인천공항2터미널
22965,공항철도,,서울역,SAT,DOWN,0,A1019,,12:10:00,서울역,인천공항2터미널
22966,공항철도,,서울역,END,DOWN,0,A1019,,12:10:00,서울역,인천공항2터미널
22967,공항철도,,인천공항1터미널,SAT,DOWN,0,A1019,,12:55:00,서울역,인천공항2터미널
22968,공항철도,,인천공항1터미널,END,DOWN,0,A1019,,12:55:00,서울역,인천공항2터미널
22969,공항철도,,인천공항2터미널,DAY,DOWN,0,A1020,,11:30:00,인천공항2터미널,서울역
22970,공항철도,,인천공항1터미널,DAY,DOWN,0,A1020,,11:38:00,인천공항2터미널,서울역
22971,공항철도,,인천공항2터미널,SAT,DOWN,0,A1020,,11:30:00,인천공항2터미널,서울역
22972,공항철도,,인천공항2터미널,END,DOWN,0,A1020,,11:30:00,인천공항2터미널,서울역
22973,공항철도,,인천공항1터미널,SAT,DOWN,0,A1020,,11:38:00,인천공항2터미널,서울역
22974,공항철도,,인천공항1터미널,END,DOWN,0,A1020,,11:38:00,인천공항2터미널,서울역
22975,공항철도,,서울역,DAY,DOWN,0,A1021,,12:50:00,서울역,인천공항2터미널
22976,공항철도,,인천공항1터미널,DAY,DOWN,0,A1021,,13:35:00,서울역,인천공항2터미널
22977,공항철도,,서울역,SAT,DOWN,0,A1021,,12:50:00,서울역,인천공항2터미널
22978,공항철도,,서울역,END,DOWN,0,A1021,,12:50:00,서울역,인천공항2터미널
22979,공항철도,,인천공항1터미널,SAT,DOWN,0,A1021,,13:35:00,서울역,인천공항2터미널
22980,공항철도,,인천공항1터미널,END,DOWN,0,A1021,,13:35:00,서울역,인천공항2터미널
22981,공항철도,,인천공항2터미널,DAY,DOWN,0,A1022,,12:10:00,인천공항2터미널,서울역
22982,공항철도,,인천공항1터미널,DAY,DOWN,0,A1022,,12:18:00,인천공항2터미널,서울역
22983,공항철도,,인천공항2터미널,SAT,DOWN,0,A1022,,12:10:00,인천공항2터미널,서울역
22984,공항철도,,인천공항2터미널,END,DOWN,0,A1022,,12:10:00,인천공항2터미널,서울역
22985,공항철도,,인천공항1터미널,SAT,DOWN,0,A1022,,12:18:00,인천공항2터미널,서울역
22986,공항철도,,인천공항1터미널,END,DOWN,0,A1022,,12:18:00,인천공항2터미널,서울역
22987,공항철도,,서울역,DAY,DOWN,0,A1023,,13:30:00,서울역,인천공항2터미널
22988,공항철도,,인천공항1터미널,DAY,DOWN,0,A1023,,14:15:00,서울역,인천공항2터미널
22989,공항철도,,서울역,SAT,DOWN,0,A1023,,13:30:00,서울역,인천공항2터미널
22990,공항철도,,서울역,END,DOWN,0,A1023,,13:30:00,서울역,인천공항2터미널
22991,공항철도,,인천공항1터미널,SAT,DOWN,0,A1023,,14:15:00,서울역,인천공항2터미널
